Compound,Date,Negative,Neutral,News_Org,Positive,Tweets Ago
0.4019,Thu Jul 12 03:16:02 +0000 2018,0.599,0.15,CNN,0.251,81
0.0,Thu Jul 12 03:01:07 +0000 2018,1.0,0.0,CNN,0.0,82
0.0,Thu Jul 12 02:56:17 +0000 2018,1.0,0.0,CNN,0.0,83
0.0,Thu Jul 12 02:46:04 +0000 2018,1.0,0.0,CNN,0.0,84
-0.4549,Thu Jul 12 02:43:39 +0000 2018,0.894,0.106,CNN,0.0,85
-0.5719,Thu Jul 12 02:31:03 +0000 2018,0.778,0.222,CNN,0.0,86
0.0,Thu Jul 12 02:16:29 +0000 2018,1.0,0.0,CNN,0.0,87
0.0,Thu Jul 12 02:16:03 +0000 2018,1.0,0.0,CNN,0.0,88
0.5994,Thu Jul 12 02:01:05 +0000 2018,0.754,0.0,CNN,0.246,89
0.0,Thu Jul 12 01:46:03 +0000 2018,1.0,0.0,CNN,0.0,90
0.0,Thu Jul 12 01:41:03 +0000 2018,1.0,0.0,CNN,0.0,91
-0.5267,Thu Jul 12 01:40:15 +0000 2018,0.841,0.159,CNN,0.0,92
0.5267,Thu Jul 12 01:31:34 +0000 2018,0.82,0.0,CNN,0.18,93
0.0772,Thu Jul 12 01:31:00 +0000 2018,0.933,0.0,CNN,0.067,94
-0.3818,Thu Jul 12 01:29:42 +0000 2018,0.852,0.148,CNN,0.0,95
0.0,Thu Jul 12 01:15:00 +0000 2018,1.0,0.0,CNN,0.0,96
-0.7579,Thu Jul 12 01:03:10 +0000 2018,0.637,0.311,CNN,0.052,97
-0.4215,Thu Jul 12 01:01:54 +0000 2018,0.82,0.127,CNN,0.053,98
0.2732,Thu Jul 12 00:59:13 +0000 2018,0.9,0.0,CNN,0.1,99
-0.34,Thu Jul 12 00:49:05 +0000 2018,0.888,0.112,CNN,0.0,100
0.4939,Thu Jul 12 03:10:44 +0000 2018,0.724,0.0,Fox News,0.276,1
-0.296,Thu Jul 12 02:58:00 +0000 2018,0.864,0.136,Fox News,0.0,2
-0.2732,Thu Jul 12 02:54:36 +0000 2018,0.84,0.16,Fox News,0.0,3
-0.4588,Thu Jul 12 02:50:01 +0000 2018,0.864,0.136,Fox News,0.0,4
-0.34,Thu Jul 12 02:44:54 +0000 2018,0.862,0.138,Fox News,0.0,5
